"bar_index","sequence_index","chant","piano_right_hand","piano_left_hand"
"104","0","\partial 4 d'8.\noBeam d'16","\partial 4 r4","\partial 4 r4"
"104","1","g'4. b'8 g'4. b'8","\times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8} \times 2/3 {b8 d'8 g'8}","<g, g>1"
"105","0","\partial 2. <d' d''>4 r4 r4","\partial 2. d'8 fis'16 a'16 d''8 fis''16 a''16 d'''4","\partial 2. <d fis>4 <d fis>4 <d fis>4"
"106","0","g'4 g''2 g''4","<bes g'>4 <g' bes' cis'' g''>2 <g' bes' cis'' g''>4","<es, es>4 <es, es>2 <es, es>4"
"107","0","b'4. g''8 g''8 [ e''8] d''8[ cis''8 ]","<g' b'>2 <e' cis''>2","<e, e>2 a,2"
"108","0","\grace{c''4} b'2\fermata d''8.( b'16) b'8.( g'16)","\grace{c''4} <g' b'>2\fermata <b' d''>4 <g' b'>4","r4 <g, g>4\fermata r2"
"109","0","b'4\fermata b'16 [ a'16 c''16 b'16 ] a'4 d''8.\noBeam d''16","<g' b'>2\fermata <fis' a'>4 r4","<d, d>2.\fermata r4"
"110","0","a'4.( d''8) d''4 d''8.\noBeam g''16","r4 <d' a' d''>2 <g' d''>4","<fis, fis>2 <d, d>4 <b, b>4"
"111","0","b'4. d''8 g''8 [ d''8] c''8[ b'8 ]","<g' b'>8 [ d'8 <g' b'>8 d'8 ] r8 <b' d''>8 [ r8 <g' b'>8 ]","<g, g>2 g8 r8 g,8 r8"
"112","0","\grace { fis''8 } e''4 d''8 [ c''8 ] b'8 [ a'8] c''8[ e''8 ]","<e' e''>2 <a' c''>2","<c c'>1"
"113","0","b'8 [ d''8] c''8[ a'8 ] g'4 g'4","{<<{\voiceOne <g' b'>4( <fis' a'>4) <g' b'>2} \new Voice {\voiceTwo d'1}>>}","g4( fis4) g8[ d8] b,8[ g,8 ]"
"114","0","d''4 cis''4 c''4 \grace { c''16 } b'8 [ a'16 g'16 ]","<fis' a' d''>4 <g' a' cis''>4 <d' a' c''>4 <d' g' b'>4","<d, d>4 <e, e>4 fis8[ d8] g8[ g,8 ]"
"115","0","d''4 e''8( cis''8) d''4 e''8( c''8)","<b' d''>4 <c'' e''>8. <ais' cis''>16 <b' d''>4 <c'' e''>8. <a' c''>16","<g, g>4. r8 <g, g>4. r8"
"116","0","a'16 [ g'16 fis'16 e'16 ] d'4 r4 d''8.\noBeam d''16","r4 d''16 [ fis''16 a''16 d'''16 ] d''4 r4","<d, d>2. r4"
"117","0","d''8.\fermata [ b'16] d''4 g'8[ b'8] d''8[ g''8]","<g' d''>2\fermata <g' d''>4 <g' d'' g''>4","<b, b>2\fermata b4 b4"
"118","0","g'8( fis'8 a'8 fis'8) d'4 d'8.\noBeam d''16","r4 <d' fis' a'>4 <d' fis' a'>4 <d' fis' a' d''>4","<d, d>2. <fis, fis>4"
"119","0","\partial 2. g'4 r4 r4","\partial 2. g'8 b'16 d''16 g''8 d''16 b'16 g'4","\partial 2. <g b>4 <g b>4 <g b>4"
"120","0","c''4.( b'8) a'4 d''8.\noBeam d''16","<c'' e''>4 <d' fis' a'>8. [ <d' fis' a'>16 ] <d' fis' a'>4 r4","r4 <d, d>8. [ <d, d>16 ] <d, d>4 r4"
"121","0","fis''8([ e''8]) e''8([ d''8]) d''8([ c''8]) c''8([ b'8])","r8 < c'' e''>8 r8 <b' d''>8 r8 <a' c''>8 r8 <g' b'>8","c'8 r8 g8 r8 <fis d'>8 r8 <fis d'>8 r8"
"122","0","\partial 4 g'8.\noBeam b'16","\partial 4 r4","\partial 4 r4"
"122","1","d''4 e''8 cis''8 d''4 e''8 c''8","<b' d''>4 <c'' e''>8. <ais' cis''>16 <b' d''>4 <c'' e''>8. <a' c''>16","<g, g>4. r8 <g, g>4. r8"
"123","0","\grace{c''4} b'2 g''16 fis''16 e''16 d''16 c''16 b'16 a'16 g'16","r4 <g' b'>4 r4 <g' b' d'' g''>4","<g, g>2 <b, b>4 r4"
"124","0","d''4. bes'8 bes'4. g'8","\times 2/3  { bes8 d'8 g'8 } \times 2/3  { bes8 d'8 g'8 } \times 2/3 { bes8 d'8 g'8 } \times 2/3  { bes8 d'8 g'8 }","r4 <g, g>4 r4 <g, g>4"
"125","0","cis''4 d''8 r16\fermata c''16 b'8. d''16 c''8. a'16","<g' cis''>4 <fis' d''>8 r16\fermata <a' c''>16 <g' b'>4 <fis' a'>4","<es, es>4 <d, d>8 r16\fermata fis16 g4 d4"
"126","0","d'4 e''16 d''16 c''16 b'16 a'4 b'4","<b' d''>4.. <g' b'>16 <fis' a'>4 <g' b'>4","<g, g>4. r8 c'8( d'8) b8 g8"
"127","0","a'4. c''16 [ b'16 ] a'4 a'8.\noBeam a'16","r4 <fis' a'>4 <fis' a'>4 <fis' a'>4","<d, d>1"
